Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Kohima,,Head Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797001
Jotsoma,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Science College,Nagaland,India,797002
Khonoma,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Science College,Nagaland,India,797002
Kohima Science College,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797002
Mezoma,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Science College,Nagaland,India,797002
Poilwa,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Science College,Nagaland,India,797002
Chakhabama,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
Chedema,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
Ciesema,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
Dihoma,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
Kedima,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
Kizocha,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
Kohima Village,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797003
Rusoma,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Village,Nagaland,India,797003
N.E.H.U.,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,New Sectt Complex,Nagaland,India,797004
New Sectt Complex,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Sadar,Nagaland,India,797004
Thizama,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,New Sectt. Complex,Nagaland,India,797004
Jakhama,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Khuzama,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Kigwema,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Kohima PWD,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima Sadar,Nagaland,India,797005
Lalmati,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Mima,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Phesama,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Viswema,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Zubza,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797005
Bhandari,,Sub Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Bhandari,Nagaland,India,797099
Aitepyong,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797100
Doyang Hydel Project,,Sub Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797100
Longtsung,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797100
Lotsu,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797100
Moilan,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797100
Pangti,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797100
Sanis,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797100
Sungro,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797100
Yamhon,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797100
Mbaulwa,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Peren,Nagaland,India,797101
N.Song,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Peren,Nagaland,India,797101
Nchongram,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Peren,Nagaland,India,797101
Peren,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Peren,Nagaland,India,797101
Tening,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Peren,Nagaland,India,797101
Chizami,,Sub Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797102
Chizami Village,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chizami,Nagaland,India,797102
Middle Khomi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chizami,Nagaland,India,797102
Thechulumi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chizami,Nagaland,India,797102
Chumukedima,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur,Nagaland,India,797103
Khopoanaula,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797103
Moaikam,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797103
Nihekhu,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797103
P C College,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797103
Pimla,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797103
Tenyiphe,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Chumukedima,Nagaland,India,797103
Chetheba,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Chozuba,,Sub Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Phek,Nagaland,India,797104
Dzulhami,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Kilomi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Phugwu,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Runguzumi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozoba,Nagaland,India,797104
Thenizumi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Thvophisumi,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Yaribami,,Branch Post Office,Delivery,North Eastern,Phek,Nagaland,North Eastern,Chozuba,Nagaland,India,797104
Botsa,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Chiechama,Nagaland,India,797105
Chiechama,,Sub Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Kohima,Nagaland,India,797105
Chiephobozou,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Chiechama,Nagaland,India,797105
Mishilimi,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Chiechama,Nagaland,India,797105
Tuophema,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Chiechama,Nagaland,India,797105
Zhadima,,Branch Post Office,Delivery,North Eastern,Kohima,Nagaland,North Eastern,Chiechama,Nagaland,India,797105
Agri College,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Medziphema,Nagaland,India,797106
Jharnapani,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Medziphema,Nagaland,India,797106
Khaibung,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Medziphema,Nagaland,India,797106
Maova,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Medziphema,Nagaland,India,797106
Medziphema,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur,Nagaland,India,797106
Molvom,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Medziphema,Nagaland,India,797106
Pherima,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Medziphema,Nagaland,India,797106
