Marine Jetty,,Sub Post Office,Non-Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Portblair,Andaman & Nicobar,India,744101
N.S.Building,,Sub Post Office,Non-Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Portblair,Andaman & Nicobar,India,744101
Port Blair,,Head Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744101
Chatham,,Sub Post Office,Non-Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Portblair,Andaman & Nicobar,India,744102
Delanipur,,Sub Post Office,Non-Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Portblair,Andaman & Nicobar,India,744102
Haddo,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744102
Radio Colony,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744102
Brijgunj,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Chouldari,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Guptapara,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Herbertabad,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Ferrargunj,Andaman & Nicobar,India,744103
Junglighat,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Minnie Bay,,Sub Post Office,Non-Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Portblair,Andaman & Nicobar,India,744103
Ograbanj,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Ferrargunj,Andaman & Nicobar,India,744103
School Line,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Tushnabad,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Wandoor,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744103
Aberdeen  Bazar,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port  Blair,Andaman & Nicobar,India,744104
Neil Island,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744104
Sitapur,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744104
Beodnabad,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744105
Bimbiton,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744105
Calicut,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744105
Garacharama,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744105
Humferygunj,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Ferrargunj,Andaman & Nicobar,India,744105
Rutland,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744105
Sippighat,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744105
Shadipur,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Port Blair,Andaman & Nicobar,India,744106
Bambooflat,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Ferrargunj,Andaman & Nicobar,India,744107
Stewertgunj,,Branch Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Ferrargunj,Andaman & Nicobar,India,744107
Chakargoan,,Sub Post Office,Delivery,West Bengal,South Andaman,A - N Islands,Calcutta HQ,Portblair,Andaman & Nicobar,India,744112
Betapur,,Sub Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744201
Nimbudera,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Mayabander,Andaman & Nicobar,India,744201
Pitchernalla,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744201
Swdeshnagar,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744201
Aerial Bay,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Diglipur,,Sub Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Hathilevel,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Kalighat,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Kishorinagar,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Laxmipur,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Navagram,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Pashimsagar,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Ramnagar,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Sitanagar,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Smith  Island,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Swarajgram,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Diglipur,Andaman & Nicobar,India,744202
Long Island,,Sub Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744203
Mayabander,,Sub Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Mayabander,Andaman & Nicobar,India,744204
Pudumadurai,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Mayabander,Andaman & Nicobar,India,744204
Rampur,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Mayabander,Andaman & Nicobar,India,744204
Tugapur,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Mayabander,Andaman & Nicobar,India,744204
Weby,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Mayabander,Andaman & Nicobar,India,744204
Bakultala,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744205
Kaushalyanagar,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744205
Nimbutala,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744205
Panchawati,,Branch Post Office,Delivery,West Bengal,North And Middle Andaman,A - N Islands,Calcutta HQ,Rangat,Andaman & Nicobar,India,744205
