Fancy Bazar,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781001
Guwahati ,,Head Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781001
Uzanbazar,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781001
Assam Engg. Institute,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781003
Assam Tribune,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781003
Chenikuthi,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781003
Silpukhuri,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781003
Kharguli,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781004
Dispur,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781005
Japorigog,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781005
Assam Sachivalaya,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781006
Lachitnagar,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781007
Ulubari,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781007
Paltanbazar,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781008
Rehabari,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781008
Bharalumukh,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781009
Kumarpara,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781009
Kamakhya,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781010
Debgotanagar,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781011
Gotanagar,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781011
Mlg Rly Hqs,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781011
Dehangarigaon,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Palasbari Circle,Assam,India,781012
Pandu,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781012
Pandu Rly Colony,,Sub Post Office,Non-Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Palashbari Circle,Assam,India,781012
Sadilapur,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Palasbari Circle,Assam,India,781012
Jalukbari,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Jalukbari Lac,Assam,India,781013
Amranga,,Branch Office directly a/w Head Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Palashbari Circle,Assam,India,781014
Dharapur,,Branch Office directly a/w Head Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Jalukbari Lac,Assam,India,781014
Guwahati University,,Head Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781014
Bongra,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Kamalpur Block,Assam,India,781015
Guwahati Airport,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781015
Gopinathnagar,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781016
Azara,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781017
Bhattaparagaral,,Branch Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Kamalpur Block,Assam,India,781017
Binovanagar,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781018
Kahilipara,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781019
Noonmati,,Sub Post Office,Delivery,Assam,Kamrup,Guwahati,Guwahati HQ,Gmc,Assam,India,781020
