B.C. Road,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
B.P.S.C.,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Bank Road (Patna),,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
C.R. Building,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Chiraiyatand,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Darul Mallick,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Gardanibagh,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Hotel Republic,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Indian Nation,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Jamal Road,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Kidwaipuri,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
L.I.C,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Mithapur (Patna),,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Navshakti,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
New Jakkanpur,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Patna ,,Head Post Office,Delivery,Bihar,Patna,Patna GPO,Patna HQ,Phulwari,Bihar,India,800001
Patna Collectoriate,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Postal Park,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Punaichak,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
R.Block,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Rajapur Mainpura,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Sri Krishnapuri,,Sub Post Office,Non-Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800001
Anisabad,,Sub Post Office,Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800002
Beur,,Branch Post Office,Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800002
Pakri,,Branch Post Office,Delivery,Bihar,Patna,Patna,Patna HQ,Patna Sadar,Bihar,India,800002
Kadamkuan,,Sub Post Office,Delivery,Bihar,Patna,Patna,Patna HQ,Phulwari,Bihar,India,800003
