Abiana,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Ropar,Chandigarh,India,140119
Bajrur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140119
Bhaowal,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Dhamana,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140119
Jhandian,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Takhatgarh,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Tibba Taparian,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140119
Ajauli,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Ropar,Chandigarh,India,140125
Bandelhari,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140125
Behrampur,,Branch Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140125
Manakpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140125
Pratap Nagar Nangal,,Sub Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140125
Bhanupali,,Sub Post Office,Delivery,Punjab,Ropar,Chandigarh,Chandigarh HQ,Bhanupali,Punjab,India,140133
Daroli,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140133
Dher,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Ropar,Punjab,India,140133
Jandbari,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140133
Kalitran,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Ropar,Chandigarh,India,140133
Khamera,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Anandpur Sahib,Punjab,India,140133
High Court (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160001
New Sectt Chandigarh,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160001
Vidhansadan,,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160001
Hallomajra,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160002
Ind Area Chandigarh,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160002
Ram Darbar,,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160002
Aerodrome,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160003
Behlana,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160003
Bhabat,,Branch Post Office,Delivery,Punjab,Mohali,Chandigarh,Chandigarh HQ,NA,Punjab,India,160003
Airforce Highground,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160004
Sector 8(Chandgarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160009
Sector 9 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160009
Sector 10 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160011
Sector 11( Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160011
Engg College,,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160012
Sector 12 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160012
Behlolpur,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,S.A.S.Nagar (Mohali),Punjab,India,160014
Dadu Majra Colony,,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160014
Dhanas,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160014
Sector 14 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160014
Tira,,Branch Post Office,Delivery,Punjab,Rupnagar,Chandigarh,Chandigarh HQ,Kharar,Punjab,India,160014
Sector 15 Chandigarh,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160015
Sector 16 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160015
Chandigarh ,,Head Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160017
Govt Press Chandigarh,,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160018
Sector 18 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160018
Raj Bhawan (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160019
Sector 19 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160019
Sector 26 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160019
Sector 27(Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160019
Sector 20 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160020
Sector 21 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160022
Sector 22 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160022
Sector 34(Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160022
Sector 35 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160022
"Sector-43, Chandigarh",,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160022
Sector 23 ( Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160023
Maloya Colony,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160025
Sector 29 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160030
Sector 30 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160030
Sector 31 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160030
Badheri,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160036
Sector 36 (Chandigarh),,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160036
Sector 40 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160036
Burail,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160047
Sector 44 (Chandigarh),,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160047
Sector 47 Chandigarh,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160047
Daria,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160101
Kishangarh,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160101
Manimajra,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160101
Mhc Manimajra,,Sub Post Office,Non-Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160101
Mauli Jagran,,Sub Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,NA,Chandigarh,India,160102
Raipur Kalan,,Branch Post Office,Delivery,Punjab,Chandigarh,Chandigarh,Chandigarh HQ,Chandigarh,Chandigarh,India,160102
