Factory Area Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Faridabad NIT,,Head Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Feroz Gandhi Nagar Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Industrial Area Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
N.I.F.M. Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Nh-2 Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Nh-3 Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Nh-4 Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121001
Bhaskola,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121002
Faridabad City,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121002
Faridabad Sector 16,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121002
Faridabad Sector 16a ,,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121002
Faridabad Sector 18,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121002
Kheri Kalan,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121002
Amarnagar (Faridabad),,Sub Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121003
Anangpur,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121003
Gurukul Indraprashtha,,Branch Post Office,Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121003
Mathura Road Faridabad,,Sub Post Office,Non-Delivery,Haryana,Faridabad,Faridabad,Ambala  HQ,Faridabad,Haryana,India,121003
