Busstand,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171001
Combermere,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171001
CPRI,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171001
IGMC,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171001
Shimla ,,Head Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171001
Shimla High Court,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171001
HP.Sectt.,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171002
Khalini,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171002
Shimla East,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171002
AGPO,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171003
AHQ,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171003
Bharari,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Rural(T),Himachal Pradesh,India,171003
Bhont,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171003
Kaithu,,Branch Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171003
Ambedkarchowk,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171004
Nabha Estate,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171004
Boileauganj,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171005
Chaili,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171005
Summerhill,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171005
Kamlanagar,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171006
Malyana,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171006
Poabo,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171006
Sanjauli,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171006
Baldeyan,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171007
Dewla,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171007
Durgapur,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171007
Ghaini,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171007
Khatnol,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171007
Kiarkoti,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171007
Mashobra,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171007
Pahal,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171007
Thailla,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171007
Jutogh,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171008
Kasumpti,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171009
New Shimla,,Sub Post Office,Non-Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171009
Rajhana,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171009
Tara Devi,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171010
Badehari,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Bychari,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Chanog,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Devnagar,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Ghana-hatti,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Jathia Devi,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Jubbarhatti,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Nehra,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Panesh,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Rampur Keonthal,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Rauri,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Shakarah,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171011
Totu,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171011
Chharabra,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla R,Himachal Pradesh,India,171012
Darbhog,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla R,Himachal Pradesh,India,171012
Dhalli,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla Urban(T),Himachal Pradesh,India,171012
Koti,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla R,Himachal Pradesh,India,171012
Kufri,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla R,Himachal Pradesh,India,171012
Maloothi,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimlar,Himachal Pradesh,India,171012
Mundghat,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla R,Himachal Pradesh,India,171012
Satlai,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla R,Himachal Pradesh,India,171012
Beolia,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171013
Mehli,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171013
Basanatpur,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Bharara,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Gumma,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Kadarghat,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Kariali,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Khera,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Majhiwar,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171018
Dharogra,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Gadheri,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Himri,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Jalog,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Kangal,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Ogli,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Pandoa,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171019
Beral,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Chakhar Bughar,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Danoghat,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Darla,,Sub Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Ganagughat,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Kashlog,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Mangal,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Mangoo,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Nagaon,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Parnoo,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Sewra Chandi,,Branch Post Office,Delivery,Himachal Pradesh,Solan,Solan,Shimla HQ,NA,Himachal Pradesh,India,171102
Chalahal,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
Chanawag,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171103
Dhami,,Sub Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
Jabri,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
Kalihatti,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
Kohbag,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
Okharoo,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
Sainj,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171103
Thachi,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Suni,Himachal Pradesh,India,171103
Toon,,Branch Post Office,Delivery,Himachal Pradesh,Shimla,Shimla,Shimla HQ,Shimla,Himachal Pradesh,India,171103
