Bakshinagar,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Dhounthly Bazar,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Jammu,,Head Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Jammu Market,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,NA,Jammu & Kashmir,India,180001
Kachi Chowni,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Mubarak Mandi,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
New Secretariat Jammu,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
O.H.Road,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Peermitha,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
R.N.Bazar,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Shaheedi Chowk Jammu,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Shaktinagar Jammu,,Sub Post Office,Non-Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180001
Akalpur,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180002
Bhadrod,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180002
Gol Gujral,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180002
Sangrampur,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180002
Suryavihar,,Branch Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180002
Talab Tillo,,Sub Post Office,Delivery,Jammukashmir,Jammu,Jammu,Srinagar HQ,Jammu,Jammu & Kashmir,India,180002
