Bangalore ,,Head Post Office,Delivery,Karnataka,Bangalore,Bangalore GPO,Bangalore HQ,Bangalore North,Karnataka,India,560001
Bangalore Bazaar,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
CMM Court Complex,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore,Karnataka,India,560001
Dr. Ambedkar Veedhi,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
HighCourt,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
Legislators Home,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
Mahatma Gandhi Road,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
Rajbhavan (Bangalore),,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
Vasanthanagar,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,NA,Karnataka,India,560001
Vidhana Soudha,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560001
Bangalore City,,Sub Post Office,Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560002
Bangalore Corporation Building,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore South,Bangalore HQ,Bangalore South,Karnataka,India,560002
Malleswaram,,Sub Post Office,Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560003
Palace Guttahalli,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560003
Swimming Pool Extn,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560003
Vyalikaval Extn,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560003
Basavanagudi,,Head Post Office,Delivery,Karnataka,Bangalore,Bangalore South,Bangalore HQ,Bangalore South,Karnataka,India,560004
Mavalli,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore South,Bangalore HQ,Bangalore South,Karnataka,India,560004
Pampamahakavi Road,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore South,Bangalore HQ,Bangalore South,Karnataka,India,560004
Thyagarajnagar,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore South,Bangalore HQ,Bangalore,Karnataka,India,560004
Fraser Town,,Sub Post Office,Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560005
J.C.Nagar,,Sub Post Office,Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560006
Training Command IAF,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560006
Agram,,Sub Post Office,Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore South,Karnataka,India,560007
Air Force Hospital,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560007
H.A.L II Stage,,Head Post Office,Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560008
Hulsur Bazaar,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore East,Bangalore HQ,Bangalore North,Karnataka,India,560008
Bangalore Dist Offices Bldg,,Sub Post Office,Non-Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560009
K. G. Road,,Sub Post Office,Delivery,Karnataka,Bangalore,Bangalore West,Bangalore HQ,Bangalore North,Karnataka,India,560009
