,Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
0,Adakgiri,,Branch Post Office,Delivery,North Eastern,East Garo Hills,Meghalaya,Shillong HQ,Dambo Rongjeng,Meghalaya,India,783123
1,Ambari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Kushdhowa,Assam,India,783123
2,Ambuk,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Khusdhowa,Assam,India,783123
3,Bagdoba,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Khusdhowa,Assam,India,783123
4,Chekowary,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Khusdhowa,Assam,India,783123
5,Dhupdhara,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Kushdhowa,Assam,India,783123
6,Dighali,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Khusdhowa,Assam,India,783123
7,Kothakuthi,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Rangjuli,Assam,India,783123
8,Mallengkona,,Branch Post Office,Delivery,North Eastern,Goalpara,Meghalaya,Shillong HQ,Kushdhowa,Assam,India,783123
9,Salpara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Khusdhowa,Assam,India,783123
10,Tingba,,Branch Post Office,Delivery,North Eastern,Goalpara,Meghalaya,Shillong HQ,Kushdhowa,Assam,India,783123
11,Amjonga,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
12,Bandarshi,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
13,Chibonga,,Branch Post Office,Delivery,North Eastern,Goalpara,Meghalaya,Shillong HQ,Dudnai,Assam,India,783124
14,Darakh,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
15,Dudhnoi,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
16,Khusdhowa,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
17,Lela,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
18,Manupara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudhnai,Assam,India,783124
19,Shiliuk,,Branch Post Office,Delivery,North Eastern,Goalpara,Meghalaya,Shillong HQ,Dudnai,Assam,India,783124
20,Upartala,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Dudnai,Assam,India,783124
21,Bahati,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
22,Bakaitari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
23,Chakla,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
24,Dahela,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
25,Dalgoma,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
26,Gossaibari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
27,Matia,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
28,Matia Bazar,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
29,Sutarpara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Matia,Assam,India,783125
30,Chotipara,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
31,Chotomatia,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
32,Dhaigaon,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
33,Harimura,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
34,Khardang,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
35,Krishnai,,Sub Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
36,Kukurkata,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
37,Lalabari,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
38,Misilkhowa,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Krishnai,Assam,India,783126
39,Tukura,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Balijana,Assam,India,783126
40,Zira,,Branch Post Office,Delivery,Assam,Goalpara,Goalpara,Guwahati HQ,Balijana,Assam,India,783126
41,Bauskata,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783127
42,Patakata,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Kokrajhar,Assam,India,783127
43,Pocharchar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783127
44,Ravatari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783127
45,Salmara South,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783127
46,Sarkarergaon,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783127
47,Tumni,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783127
48,Hazirhat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,South Salmara,Assam,India,783128
49,Kokradanga,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Fekamari,Assam,India,783128
