Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
A G,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751001
Bhubaneswar ,,Head Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751001
Bhubaneswar Secretariate,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751001
Kharavela Nagar,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751001
Orissa  Assembly,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751001
Bankual,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Bhimatangi ND,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Gopinathpur,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Harachandi Sahi,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Itipur,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Kalyanpur Sasan,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Kausalyaganga,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Kedargouri,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Kuha,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Old Town (Khorda),,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Santarapur,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Sisupalgarh,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Lingaraj,Odisha,India,751002
Sundarpada,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751002
Andharua,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751003
Baramunda Colony,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751003
Bharatpur,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751003
Ghatikia,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751003
Malipada,,Branch Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751003
Suryanagar (Khorda),,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751003
Utkal University,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751004
Sainik School (Khorda),,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751005
Budheswari Colony,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751006
Jharapada,,Branch Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Saheednagar,Odisha,India,751006
Kalpana Square,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751006
Laxmisagar (Khorda),,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751006
Station Bazar,,Branch Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751006
Saheed Nagar,,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751007
Satyanagar (Khorda),,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751007
V S S Nagar,,Sub Post Office,Non-Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751007
Rajbhawan (Khorda),,Sub Post Office,Delivery,Odisha,Khorda,Bhubaneswar,Bhubaneswar HQ,Bhubaneswar,Odisha,India,751008
