Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Pondicherry,,Head Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605001
Sri Aurobindo Ashram,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605002
Muthialpet,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry ,Pondicherry,India,605003
Mouroungapakkam,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605004
Mudaliarpet,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry ,Pondicherry,India,605004
Thengaithittu,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605004
Nellithoppe,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry ,Pondicherry,India,605005
Dhanvantry Nagar,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605006
Abishegapakkam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Ariyankuppam,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Karikalambakkam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Mathalapattu,,Branch Post Office,Delivery,Tamilnadu,Cuddalore,Pondicherry,Chennai Region,Cuddalore,Tamil Nadu,India,605007
Nallavadu,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Pooranankuppam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Singirikoil,,Branch Post Office,Delivery,Tamilnadu,Cuddalore,Pondicherry,Chennai Region,Cuddalore,Tamil Nadu,India,605007
Thimmanaickenpalayam,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Veerampattinam,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605007
Lawspet,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605008
Mottoupalayam,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605009
Moutrepaleam,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605009
Thattanchavady,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605009
Vimacoundinpaleam,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605009
Ozhugarai,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605010
Reddiyarpalayam,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605010
Venkata Nagar,,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605011
Padmini Nagar S.O,Padmini Nagar S.O,Branch Post Office,Delivery,Goa,Pondicherry,Podicherry,Podicherry,Podicherry,Pondicherry,India,605012
Saram(Py),,Sub Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605013
Calapet,,Branch Post Office,Non-Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605014
Kaluperumbakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Vanur,Tamil Nadu,India,605014
