Chennai ,,Head Post Office,Delivery,Tamilnadu,Chennai,Chennai GPO,Chennai Region,Chennai,Tamil Nadu,India,600001
Flower Bazaar,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,NA,Tamil Nadu,India,600001
Govt Stanley Hospital,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600001
Mannady (Chennai),,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600001
Mint Building,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600001
MPT AO,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St Goerge,Tamil Nadu,India,600001
Sowcarpet,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600001
Anna Road,,Head Post Office,Delivery,Tamilnadu,Chennai,Anna Road H.O,Chennai Region,Chennai,Tamil Nadu,India,600002
Chintadripet,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600002
Madras Electricity System,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600002
Edapalayam,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600003
Madras Medical College,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600003
Park Town,,Head Post Office,Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600003
Ripon Buildings,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City North,Chennai Region,Tondiarpet Fort St George,Tamil Nadu,India,600003
Mandaveli,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600004
Mylapore,,Head Post Office,Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600004
Vivekananda College Madras,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600004
Chepauk,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600005
Madras University,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600005
Tiruvallikkeni,,Sub Post Office,Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600005
Greams Road,,Sub Post Office,Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600006
Old College Buildings,,Sub Post Office,Non-Delivery,Tamilnadu,Chennai,Chennai City Central,Chennai Region,Chennai,Tamil Nadu,India,600006
