Gandhi Bhawan (Hyderabad),,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Nampally,Telangana,India,500001
Hyderabad ,,Head Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad GPO,Hyderabad City,Hyderabad,Telangana,India,500001
Moazzampura,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Nampally,Telangana,India,500001
Seetharampet,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Nampally,Telangana,India,500001
State Bank Of Hyderabad,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Nampally,Telangana,India,500001
Hyderabad Jubilee,,Head Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Charminar,Telangana,India,500002
Moghalpura,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Charminar,Telangana,India,500002
Begumpet Policelines,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500003
Kingsway,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500003
MG Road,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500003
Secunderabad,,Head Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Hyderabad,Telangana,India,500003
A.Gs Office,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Khairatabad,Telangana,India,500004
Anandnagar (Hyderabad),,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Khairatabad,Telangana,India,500004
Bazarghat (Hyderabad),,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Khairatabad,Telangana,India,500004
Khairatabad,,Head Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Khairatabad,Telangana,India,500004
Parishram Bhawan,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Himayathnagar,Telangana,India,500004
Vidhan Sabha (Hyderabad),,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Nampally,Telangana,India,500004
Balapur,,Branch Post Office,Delivery,Andhra Pradesh,K.V.Rangareddy,Hyderabad South East,Hyderabad City,Saroornagar,Telangana,India,500005
Crp Camp (Hyderabad),,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Bandlaguda,Telangana,India,500005
Keshogiri,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Bandlaguda,Telangana,India,500005
Mamidipalli,,Branch Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Hyderabad,Telangana,India,500005
Pahadishareef,,Branch Post Office,Delivery,Andhra Pradesh,K.V.Rangareddy,Hyderabad South East,Hyderabad City,Saroornagar,Telangana,India,500005
Karwan Sahu,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Asifnagar,Telangana,India,500006
Kulsumpura,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Asifnagar,Telangana,India,500006
Mangalhat,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Asifnagar,Telangana,India,500006
Administrative Buildings,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500007
IICT,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500007
Jama I Osmania,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500007
Ngri,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500007
Tarnaka,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500007
Appa Himayathsagar,,Branch Post Office,Delivery,Andhra Pradesh,K.V.Rangareddy,Hyderabad City,Hyderabad City,Rajendranagar,Telangana,India,500008
Dargah Hussain Shahwali,,Branch Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Golconda,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda ,Telangana,India,500008
Hyder Shah Kote,,Branch Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Kakatiya Nagar,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Lunger House,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Nanakramguda,,Branch Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Sakkubai Nagar,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Toli Chowki,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad City,Hyderabad City,Golconda,Telangana,India,500008
Manovikasnagar,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500009
Picket,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500009
Alwal,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500010
Bolarum,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500010
Bolarum Bazar,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500010
Haiglines,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500010
Kowkoor,,Branch Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Malkagiri Manda,Telangana,India,500010
Bowenpally,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500011
Begumbazar,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Nampally,Telangana,India,500012
Amberpet,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Amberpet,Telangana,India,500013
Hyderabad Public School,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Amberpet,Telangana,India,500013
Seminary,,Branch Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Amberpet,Telangana,India,500013
Srinivasapuram (Hyderabad),,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Amberpet,Telangana,India,500013
Zindatelismath,,Branch Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Hyderabad South East,Hyderabad City,Amberpet,Telangana,India,500013
Hakimpet,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500014
Aoc Records,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500015
EME Records,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Tirumalagiri,Telangana,India,500015
Trimulgherry,,Head Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Rangareddy,Telangana,India,500015
Begumpet,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500016
Prakashamnagar,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500016
Lallaguda,,Sub Post Office,Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500017
Lallapet,,Sub Post Office,Non-Delivery,Andhra Pradesh,Hyderabad,Secunderabad,Hyderabad City,Secunderabad,Telangana,India,500017
Bharat Nagar Colony,,Sub Post Office,Non-Delivery,Andhra Pradesh,K.V.Rangareddy,Hyderabad City,Hyderabad City,Balanagar,Telangana,India,500018
