Agartala,,Head Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799001
Agartala Bazar,,Sub Post Office,Non-Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,NA,Tripura,India,799001
Agartala Court,,Sub Post Office,Non-Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,NA,Tripura,India,799001
Jaganath Bari Road,,Sub Post Office,Non-Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,NA,Tripura,India,799001
AgartalaGuard Post,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Barjala,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Border Rampur,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,NA,Tripura,India,799002
Krishnagar,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Paschim Bhubanban,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Puran Kalibari,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Ramnagar (West Tripura),,Sub Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Town Rampur,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799002
Arundhutinagar,,Sub Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799003
Badharghat,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799003
Bhattapukur,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,NA,Tripura,India,799003
Charipara,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799003
Ishanchandranagar,,Branch Post Office,Delivery,North Eastern,West Tripura,Agartala,Shillong HQ,Sadar,Tripura,India,799003
