Ashok Nagar (Ghaziabad),,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201001
Ghaziabad,,Head Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201001
Nehru Nagar (Ghaziabad),,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201001
Ramte Ram Road,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201001
Ingram Institute,,Branch Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ingram Institute,Uttar Pradesh,India,201002
Kamla Nehru Nagar,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Kavi Nagar,,Sub Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
New Raj Nagar,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Old Raj Nagar,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Police Line Harsaon,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Raispur,,Branch Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Rajapur,,Branch Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
RAKNPA,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Sadarpur,,Branch Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Shahpur Bamheta,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Shahpur Bamheta,Uttar Pradesh,India,201002
Shastri Nagar,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201002
Vivekanand Nagar,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,NA,Uttar Pradesh,India,201002
Ator Nagla,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ator Nagla,Uttar Pradesh,India,201003
Aurangabad Ristal,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Aurangabad Ristal,Uttar Pradesh,India,201003
Bhup Kheri,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Bhup Kheri,Uttar Pradesh,India,201003
Farrukh Nagar,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201003
Meerut Road,,Sub Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201003
Morta,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Morta,Uttar Pradesh,India,201003
Nistoli,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Nistoli,Uttar Pradesh,India,201003
Hindon Air Field,,Sub Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201004
Bhopura,,Sub Post Office,Non-Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Loni,Uttar Pradesh,India,201005
Pasonda,,Branch Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Pasonda,Uttar Pradesh,India,201005
Sahibabad,,Sub Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201005
Chikamberpur,,Sub Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201006
Mohan Nagar (Ghaziabad),,Sub Post Office,Delivery,Uttar Pradesh,Ghaziabad,Ghaziabad,Lucknow  HQ,Ghaziabad,Uttar Pradesh,India,201007
