Barionwala,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Jaspur,Uttarakhand,India,244712
Dharampur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Jaspur,Uttarakhand,India,244712
Jaspur,,Sub Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244712
Raipur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244712
Chaukhandi,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Dhakia No 1,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Dhanauri,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Ganeshnagar,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Hariawala Chauraha,,Sub Post Office,Non-Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Nainital,Uttarakhand,India,244713
Industrial Area Kashipur,,Sub Post Office,Non-Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kshipur,Uttarakhand,India,244713
Karanpur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Kashipur (Udham Singh Nagar),,Sub Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Kila Street,,Sub Post Office,Non-Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Kunda,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Kundeshwari,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Mahuwakhera,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kichha,Uttarakhand,India,244713
Maldhanchaur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Pratappur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Shivrajpur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Spinning Mill Kashipur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244713
Sultanpur,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Bazpur,Uttarakhand,India,244713
Bhairongkhal,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Burakote,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Chhoi,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Ramnagar,Uttarakhand,India,244715
Chilkia,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Ramnagar,Uttarakhand,India,244715
Devayal,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Dhela,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Haldwani,Uttarakhand,India,244715
Dhikala Nc Park(Seasonal),,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Haldwani,Uttarakhand,India,244715
Dhikuli,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Ramnagar,Uttarakhand,India,244715
Jamani,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Nainital,Uttarakhand,India,244715
Karanpur,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Ramnagar,Uttarakhand,India,244715
Mohan,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Ramnagar,Uttarakhand,India,244715
Peerumadra,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Ramnagar,Uttarakhand,India,244715
Ramnagar (Nainital),,Sub Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Nainital,Uttarakhand,India,244715
Riquwasi,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Sankar,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Simalkhalia,,Branch Post Office,Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Haldwani,Uttarakhand,India,244715
Thala Manral,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Tukura,,Branch Post Office,Delivery,Uttarakhand,Almora,Nainital,Dehradun,Bhikia Sain,Uttarakhand,India,244715
Vidyalayee Siksha Parisad Ramnagar ,,Sub Post Office,Non-Delivery,Uttarakhand,Nainital,Nainital,Dehradun,Ramanagar,Uttarakhand,India,244715
Anandnagar,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244716
R.T.C. Hempur,,Sub Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244716
Thari,,Branch Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244716
S.M. Nadehi,,Sub Post Office,Delivery,Uttarakhand,Udham Singh Nagar,Nainital,Dehradun,Kashipur,Uttarakhand,India,244717
Aghapur,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Ajit Pur,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Bakania,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Bara Khas,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Benazir,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Bhot,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
C & M Store,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
C.R.P. Hq,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Chamroa,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Chikti Ramnagar,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Civil Line Rampur,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Daniapur,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Ialam Ganj,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Juthia,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Jwala Nagar,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Kakrawa,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Khusro Bagh,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Kira,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Koila,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
M.B.Rampur,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Madhauli,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Mahu Nagar,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Mathuraour,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Meston Ganj,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Nankar,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Narkhera,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Nipania,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Patwai,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Punjab Nagar,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Purana Ganj,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Rampur,,Head Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Rampur Chowk,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Rampur City,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Rampur Distilliry,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Rampur Secretariate,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Rawari Kalan,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Roshan Bag Road,,Branch Office directly a/w Head Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Tehsil Rampur,,Sub Post Office,Non-Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Rampur,Uttar Pradesh,India,244901
Ahor,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilasour,Uttar Pradesh,India,244921
Anwaria Talibabad,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
Begamabad,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
Bhansia Jawalapuri,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
Bilaspur (Rampur),,Sub Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
Chandela,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
Hamidabad,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
Ishanagar,,Branch Post Office,Delivery,Uttar Pradesh,Rampur,Moradabad,Bareilly,Bilaspur,Uttar Pradesh,India,244921
