Council House Street,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Customs House,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Khengrapatti,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Kolkatta ,,Head Post Office,Delivery,West Bengal,Kolkata,Kolkata GPO,Calcutta,Kolkata,West Bengal,India,700001
Lalbazar (Kolkata),,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
New Secretariat Bldg.,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Pollock Street,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,NA,West Bengal,India,700001
R.N. Mukherjee Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Radha Bazar,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Reserve Bank Building,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Telephone Bhawan,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Treasury Building,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
W.B.Assembly House,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Writer's Building,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700001
Cossipore,,Head Post Office,Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Cossipore Gun Factory,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Indian Research,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Kolkata Armed Police,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Paikapara,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Postal Stores Depot,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Satchasipara,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Tala,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700002
Amrita Bazar Partika,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700003
Baghbazar,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700003
Girish Avenue,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700003
R.G.Kar Medical College,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700004
Shyambazar Mail,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700004
Ultadanga,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700004
Ahritola,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700005
Hatkhola,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700005
Beadon Street,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Bidhan Sarani,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Jorasanko,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Manicktala,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Pathuriaghata,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Sahitya Parisad,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Simla,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700006
Archana,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700007
Barabazar,,Head Post Office,Delivery,West Bengal,Kolkata,Barabazaar H.O,Calcutta,Kolkata,West Bengal,India,700007
College Square (Kolkata),,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700007
Kalakar Street,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700007
Strand Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700007
Vaishya Sabha,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata North,Calcutta,Kolkata,West Bengal,India,700007
Barisha,,Sub Post Office,Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700008
Parsibagan,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Parsibagan,West Bengal,India,700009
Raja Ram Mohan Sarani,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Amherst Street,West Bengal,India,700009
Beleghata,,Head Post Office,Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Beleghata,West Bengal,India,700010
Joramandir,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700010
Subhash Sarabor,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Beleghata,West Bengal,India,700010
Narkeldanga,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Narkeldanga,West Bengal,India,700011
Bowbazar (Kolkata),,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700012
Sankaritola,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Sankaritola,West Bengal,India,700012
Yogayog Bhawan,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700012
Dharmatala,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700013
Asylum Lane,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700014
Bamboovila,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700014
Intally,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700014
Linton Street,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700014
Sealdah,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Sealdah,West Bengal,India,700014
Taltala,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Taltala,West Bengal,India,700014
Sales Tax Building,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700015
Seal Lane,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700015
Tangra,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,NA,West Bengal,India,700015
Elliot Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700016
Madrassa,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700016
Park Street,,Head Post Office,Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700016
Circus Avenue,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Circus Avenue,West Bengal,India,700017
Jhowtala,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Kolkata,West Bengal,India,700017
Park Circus,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata East,Calcutta,Park Circus,West Bengal,India,700017
Shakespeare Sarani,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700017
Bartala,,Sub Post Office,Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700018
Rabindra Nagar (Kolkata),,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700018
Ballygunge,,Sub Post Office,Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700019
Ballygunge RS,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700019
Ballygunge Sc College,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700019
Garcha Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700019
Gariahat Market,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700019
Golpark,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700019
A.J.C.Bose Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700020
Gokhel Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700020
K.M.Hospital,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700020
L.R.Sarani,,Sub Post Office,Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700020
Fort William,,Sub Post Office,Delivery,West Bengal,Kolkata,Kolkata Central,Calcutta,Kolkata,West Bengal,India,700021
Bakery Road,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700022
Hastings,,Sub Post Office,Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700022
Khiddirpore,,Sub Post Office,Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700023
Mansatala,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700023
Raja J.N.Market,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700023
Watgunge,,Sub Post Office,Non-Delivery,West Bengal,Kolkata,Calcutta South,Calcutta,Kolkata,West Bengal,India,700023
